trialID,analysisVar,varType,stabilityThreshold,mean,sd,median,min,max,ci95
runT35,knee_angle_r,0D,0.75,5.821428571428571,4.788778336818658,3,2,17,1.7737883188249943
runT35,knee_angle_r,1D,0.75,11.0,4.026696625558687,11,4,19,1.4915093026863762
runT35,knee_angle_r,0D,1.0,4.5,3.755947664324259,2,2,16,1.3912224840046252
runT35,knee_angle_r,1D,1.0,6.928571428571429,3.400930244890689,7,2,16,1.2597221915962262
runT35,ankle_angle_r,0D,0.25,17.571428571428573,7.078279509621425,18,3,32,2.6218314209727516
runT35,ankle_angle_r,1D,0.25,30.035714285714285,4.701687712613288,31,14,37,1.7415295001808035
runT35,ankle_angle_r,0D,0.5,7.0,5.378528742004772,5,2,22,1.9922349259060788
runT35,ankle_angle_r,1D,0.5,18.607142857142858,4.820634855303113,19,10,28,1.7855881384014622
runT35,ankle_angle_r,0D,0.75,3.6785714285714284,2.803742033025703,2,2,14,1.0385205823670516
runT35,ankle_angle_r,1D,0.75,10.214285714285714,3.9673411648568044,10,4,17,1.4695237323704573
runT35,ankle_angle_r,0D,1.0,2.2857142857142856,0.5890150893739515,2,2,4,0.2181742422927143
runT35,ankle_angle_r,1D,1.0,6.285714285714286,3.216665785485058,6,2,13,1.1914696806885186
runT45,hip_flexion_r,0D,0.25,19.214285714285715,8.282326893784754,20,6,36,3.067816813305514
runT45,hip_flexion_r,1D,0.25,31.678571428571427,3.845717204414091,32,21,38,1.4244735869787126
runT45,hip_flexion_r,0D,0.5,9.107142857142858,7.163096326281801,6,2,28,2.6532480095158837
runT45,hip_flexion_r,1D,0.5,16.571428571428573,5.621569248557428,18,4,29,2.082258389345568
runT45,hip_flexion_r,0D,0.75,4.464285714285714,4.238279155987915,3,2,24,1.5698805687057855
runT45,hip_flexion_r,1D,0.75,9.0,5.3718844791323335,7,3,24,1.9897738564972656
runT45,hip_flexion_r,0D,1.0,3.607142857142857,3.6580565264933242,2,2,21,1.3549630991285333
runT45,hip_flexion_r,1D,1.0,5.107142857142857,4.49077853347665,3,2,21,1.6634076469705192
runT45,hip_adduction_r,0D,0.25,18.25,9.314447303593948,21,2,37,3.4501195631456016
runT45,hip_adduction_r,1D,0.25,30.5,3.950587659721381,31,23,38,1.463318147225681
runT45,hip_adduction_r,0D,0.5,7.5,6.15571743526757,4,2,23,2.2801096464863266
runT45,hip_adduction_r,1D,0.5,17.535714285714285,4.246697396272803,17,8,25,1.572998728543669
runT45,hip_adduction_r,0D,0.75,4.75,4.556196722204669,3,2,20,1.687638883173767
runT45,hip_adduction_r,1D,0.75,10.035714285714286,4.1186175112629275,11,4,21,1.5255572752276458
runT45,hip_adduction_r,0D,1.0,2.607142857142857,2.1270248456182994,2,2,12,0.7878610283546204
runT45,hip_adduction_r,1D,1.0,5.0,3.0,4,2,12,1.111215550647128
runT45,hip_rotation_r,0D,0.25,17.892857142857142,9.389733320852873,17,4,38,3.47800589418707
runT45,hip_rotation_r,1D,0.25,31.678571428571427,3.7706912157982337,31,24,39,1.3966835718945076
runT45,hip_rotation_r,0D,0.5,6.928571428571429,5.592907315958128,5,2,26,2.0716418609402543
runT45,hip_rotation_r,1D,0.5,18.357142857142858,4.513584936565594,19,10,27,1.6718552568927727
runT45,hip_rotation_r,0D,0.75,3.892857142857143,3.921909936627868,3,2,23,1.4526957699394598
runT45,hip_rotation_r,1D,0.75,10.428571428571429,4.9311587411694875,9,3,24,1.8265267586323501
runT45,hip_rotation_r,0D,1.0,2.392857142857143,0.8167569018592338,2,2,5,0.3025309901481169
runT45,hip_rotation_r,1D,1.0,5.642857142857143,2.5664634604602403,5,2,11,0.9506313691436865
runT45,knee_angle_r,0D,0.25,22.178571428571427,9.016071251733015,24,4,40,3.339599526889414
runT45,knee_angle_r,1D,0.25,31.714285714285715,4.802210375420461,32,22,40,1.7787636155487327
runT45,knee_angle_r,0D,0.5,10.035714285714286,8.108558718403408,7,2,26,3.0034521804084044
